                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4329,                 1.2695,                 1.2753,                0.46518,                0.36033,                0.30707,                0.16318,                 1.5877,                 1.4025,                 1.4486,             0.00056911,             0.00056911,             0.00056911
                     34,                 1.4278,                 1.2612,                 1.2786,                0.46397,                0.35475,                0.31268,                0.16908,                 1.5968,                 1.3679,                 1.4655,             0.00056086,             0.00056086,             0.00056086
                     35,                 1.4139,                  1.238,                 1.2683,                0.47591,                0.36686,                0.33744,                0.17726,                 1.6158,                 1.3523,                 1.4701,             0.00055261,             0.00055261,             0.00055261
                     36,                 1.4055,                  1.219,                 1.2595,                0.44839,                0.32434,                0.30132,                0.16239,                 1.5789,                 1.3838,                 1.4637,             0.00054437,             0.00054437,             0.00054437
                     37,                 1.4041,                 1.2059,                 1.2611,                0.32467,                0.37594,                0.30787,                0.16354,                 1.6131,                 1.3894,                 1.4698,             0.00053612,             0.00053612,             0.00053612
                     38,                 1.3997,                 1.1992,                 1.2566,                0.44974,                0.36621,                0.30573,                0.16347,                 1.6078,                 1.3992,                 1.4692,             0.00052787,             0.00052787,             0.00052787
                     39,                 1.3943,                 1.1923,                 1.2621,                0.48669,                  0.385,                0.31884,                0.16691,                  1.596,                 1.3894,                 1.4763,             0.00051963,             0.00051963,             0.00051963
                     40,                 1.3813,                 1.1655,                 1.2502,                0.50424,                0.36975,                0.32566,                0.16896,                 1.5983,                 1.3454,                 1.4563,             0.00051138,             0.00051138,             0.00051138
                     41,                 1.3647,                 1.1498,                 1.2378,                 0.3575,                0.38481,                0.33878,                0.17739,                 1.5781,                 1.3486,                 1.4422,             0.00050313,             0.00050313,             0.00050313
                     42,                 1.3733,                 1.1518,                 1.2334,                0.50806,                 0.3675,                0.32854,                0.17535,                 1.5727,                 1.3472,                 1.4567,             0.00049489,             0.00049489,             0.00049489
                     43,                 1.3561,                 1.1241,                  1.237,                0.34466,                 0.3757,                0.31914,                0.17122,                 1.5947,                 1.3667,                 1.4614,             0.00048664,             0.00048664,             0.00048664
                     44,                 1.3449,                 1.1226,                  1.234,                0.49828,                0.38663,                0.32893,                0.17196,                 1.5964,                 1.3316,                  1.456,             0.00047839,             0.00047839,             0.00047839
                     45,                 1.3439,                 1.1055,                 1.2193,                0.49185,                0.36514,                0.32426,                0.17185,                 1.5754,                 1.3326,                 1.4484,             0.00047015,             0.00047015,             0.00047015
                     46,                 1.3331,                 1.0912,                 1.2101,                0.37314,                 0.3695,                0.33133,                0.17916,                 1.5989,                 1.3249,                 1.4596,              0.0004619,              0.0004619,              0.0004619
                     47,                 1.3215,                 1.0779,                 1.2085,                0.48248,                0.37245,                0.33601,                0.17917,                 1.6098,                 1.3428,                 1.4645,             0.00045365,             0.00045365,             0.00045365
                     48,                 1.3071,                 1.0539,                 1.2044,                0.51229,                0.33591,                0.32438,                0.17328,                 1.6038,                  1.336,                 1.4767,             0.00044541,             0.00044541,             0.00044541
                     49,                 1.3067,                 1.0376,                 1.2008,                0.49258,                0.40839,                0.33382,                0.17708,                 1.6071,                  1.338,                 1.4794,             0.00043716,             0.00043716,             0.00043716
                     50,                 1.2852,                 1.0366,                 1.1883,                0.50508,                0.38153,                0.33613,                0.17817,                 1.6151,                 1.3389,                 1.4707,             0.00042891,             0.00042891,             0.00042891
                     51,                 1.2947,                 1.0246,                 1.1966,                0.51259,                0.36458,                0.32747,                0.17687,                 1.5848,                 1.3197,                 1.4592,             0.00042066,             0.00042066,             0.00042066
                     52,                 1.2866,                 1.0148,                 1.1842,                0.44329,                0.38487,                0.33004,                 0.1764,                 1.6053,                 1.3174,                  1.468,             0.00041242,             0.00041242,             0.00041242
                     53,                  1.276,                  0.999,                  1.183,                0.33456,                0.39363,                0.33084,                0.17899,                 1.6014,                 1.3141,                 1.4626,             0.00040417,             0.00040417,             0.00040417
                     54,                 1.2678,                0.98236,                 1.1743,                0.31928,                 0.4025,                0.32667,                0.17811,                 1.5896,                 1.3057,                 1.4648,             0.00039592,             0.00039592,             0.00039592
                     55,                 1.2686,                0.97782,                 1.1796,                0.37958,                0.38192,                0.33361,                0.18007,                 1.5983,                 1.3337,                 1.4735,             0.00038768,             0.00038768,             0.00038768
                     56,                 1.2538,                0.96819,                 1.1679,                0.46783,                0.39096,                0.33071,                0.17896,                 1.6163,                 1.3266,                 1.4835,             0.00037943,             0.00037943,             0.00037943
                     57,                 1.2481,                0.95671,                 1.1681,                0.36167,                0.39549,                0.33359,                0.18059,                 1.6207,                 1.3028,                 1.4899,             0.00037118,             0.00037118,             0.00037118
                     58,                 1.2236,                0.92684,                 1.1537,                0.50071,                0.38184,                0.34085,                0.18574,                 1.6071,                 1.3041,                 1.4879,             0.00036294,             0.00036294,             0.00036294
                     59,                 1.2399,                0.93572,                 1.1576,                0.38369,                0.36197,                0.32958,                0.18047,                 1.6312,                 1.3554,                 1.5027,             0.00035469,             0.00035469,             0.00035469
                     60,                 1.2201,                0.90949,                 1.1464,                0.35741,                 0.3884,                0.33924,                0.18557,                 1.6273,                 1.3303,                 1.4965,             0.00034644,             0.00034644,             0.00034644
                     61,                  1.219,                0.92095,                 1.1519,                0.36021,                0.38233,                0.32585,                0.18305,                 1.6047,                 1.3275,                 1.4886,              0.0003382,              0.0003382,              0.0003382
                     62,                 1.1978,                0.89352,                 1.1449,                0.46517,                0.40487,                0.33147,                0.17897,                 1.6234,                 1.3385,                 1.4888,             0.00032995,             0.00032995,             0.00032995
                     63,                 1.1947,                0.88129,                 1.1352,                0.35218,                0.40879,                0.33315,                0.17864,                 1.6248,                 1.3384,                 1.4979,              0.0003217,              0.0003217,              0.0003217
                     64,                 1.1841,                0.86686,                 1.1289,                0.34827,                0.39175,                0.33445,                 0.1815,                 1.6107,                 1.3191,                 1.4827,             0.00031346,             0.00031346,             0.00031346
                     65,                 1.1788,                0.85104,                 1.1299,                0.38993,                0.37114,                0.34184,                0.18425,                 1.6236,                 1.3078,                 1.5054,             0.00030521,             0.00030521,             0.00030521
                     66,                 1.1681,                0.86205,                 1.1279,                0.55087,                0.36612,                0.34303,                 0.1858,                 1.6276,                 1.3166,                 1.4972,             0.00029696,             0.00029696,             0.00029696
                     67,                 1.1672,                 0.8592,                 1.1286,                0.53741,                0.35244,                0.34242,                0.18389,                 1.6299,                 1.2852,                 1.5129,             0.00028872,             0.00028872,             0.00028872
                     68,                 1.1625,                0.83569,                 1.1195,                0.53307,                0.37144,                0.33666,                0.18644,                  1.631,                 1.3148,                 1.5052,             0.00028047,             0.00028047,             0.00028047
                     69,                 1.1529,                0.83867,                 1.1171,                0.51419,                0.39332,                0.35226,                0.19068,                 1.6323,                 1.3116,                 1.5178,             0.00027222,             0.00027222,             0.00027222
                     70,                 1.1417,                0.82747,                 1.1164,                0.40043,                0.38289,                0.34698,                 0.1906,                 1.6206,                 1.3161,                    1.5,             0.00026398,             0.00026398,             0.00026398
                     71,                  1.132,                0.79962,                 1.1026,                0.36987,                0.38411,                0.33686,                0.18224,                 1.6513,                 1.3196,                 1.5251,             0.00025573,             0.00025573,             0.00025573
